shipname,capacity_n,crew_n,total_ship_pop
ALLURE OF THE SEAS,5484,2200,7684
AZAMARA JOURNEY,694,407,1101
CARIBBEAN PRINCESS,3142,1200,4342
CARNIVAL CONQUEST,2980,1150,4130
CARNIVAL FREEDOM,2980,1150,4130
CARNIVAL GLORY,2980,1150,4130
CARNIVAL LIBERTY,2974,1160,4134
CARNIVAL MIRACLE,2124,930,3054
CARNIVAL MIRACLE TB1,2124,930,3054
CARNIVAL MIRACLE TB5,2124,930,3054
CARNIVAL SUNSHINE,2642,1150,3792
CARNIVAL VALOR,2974,1180,4154
CARNIVAL VISTA,3934,1450,5384
MARELLA DISCOVERY 2,1836,771,2607
MARELLA DISCOVERY 2,1836,771,2607
CELEBRITY EQUINOX,2850,NA,NA
CELEBRITY INFINITY,2170,999,3169
CELEBRITY REFLECTION,3046,1271,4317
CLUB MED 2,386,214,600
CRYSTAL SYMPHONY,650,495,1145
DISNEY DREAM,4000,1458,5458
DISNEY MAGIC,1750,945,2695
DISNEY WONDER,2400,945,3345
EXPLORER OF THE SEAS,3286,1180,4466
LIBERTY OF THE SEAS,3798,1300,5098
MAJESTY OF THE SEAS,2767,833,3600
MARELLA DISCOVERY 2,1836,771,2607
MARELLA DISCOVERY 2,1836,771,2607
MARINER OF THE SEAS,3114,1185,4299
MSC ARMONIA,2679,721,3400
MSC OPERA,2150,728,2878
NORWEGIAN BREAKAWAY,3963,1657,5620
NORWEGIAN DAWN,2340,1032,3372
NORWEGIAN EPIC,4100,1724,5824
NORWEGIAN GETAWAY,3963,1646,5609
NCL GETAWAY T6,3963,1646,5609
NORWEGIAN JADE,2402,1037,3439
NORWEGIAN PEARL,2394,1099,3493
NORWEGIAN SKY,1928,766,2694
NORWEGIAN STAR,2348,1031,3379
NORWEGIAN SUN,1976,906,2882
OASIS OF THE SEAS,5606,2165,7771
RHAPSODY OF THE SEAS,1998,765,2763
SILVER WIND,294,208,502
NAVIGATOR OF THE SEA,3386,1200,4586
OOSTERDAM,1964,812,2776
ZUIDERDAM,1916,842,2758
ISLAND PRINCESS,2214,900,3114
ORIANA,1822,794,2616
REGATTA,684,386,1070
AURORA,1878,850,2728
CELEBRITYSILHOUETTE,2886,1500,4386
NIEUW AMSTERDAM,1350,520,1870
EURODAM,2104,929,3033
CARIBBEANPRINCE TB22,2104,929,3033
CARNIVAL MIRACLE,2124,930,3054
CARNIVAL MIRACLE TB1,2124,930,3054
CARNIVAL MIRACLE TB5,2124,930,3054
VIKING SUN,740,460,1200
EURODAM,2104,929,3033
CARIBBEANPRINCE TB22,2104,929,3033
NORWEGIAN GETAWAY,3963,1646,5609
NCL GETAWAY T6,3963,1646,5609
CARNIVAL MIRACLE,2124,930,3054
CARNIVAL MIRACLE TB1,2124,930,3054
CARNIVAL MIRACLE TB5,2124,930,3054
M/S ROTTERDAM,1404,600,2004
VEENDAM,1350,568,1918
ENCHANTMENT OTS,1350,568,1918
ADVENTURE OF THE SEA,3807,1185,4992
BRILLIANCE OFTHESEAS,2140,848,2988
VEENDAM,1350,568,1918
ENCHANTMENT OTS,1350,568,1918
INDEPENDENCE OF SEAS,NA,NA,NA
FRAM,400,0,400
