full_link,name
https://en.wikipedia.org/wiki/Allure_of_the_Seas,ALLURE OF THE SEAS
https://en.wikipedia.org/wiki/Azamara_Journey,AZAMARA JOURNEY
https://en.wikipedia.org/wiki/Caribbean_Princess,CARIBBEAN PRINCESS
https://en.wikipedia.org/wiki/Carnival_Conquest,CARNIVAL CONQUEST
https://en.wikipedia.org/wiki/Carnival_Freedom,CARNIVAL FREEDOM
https://en.wikipedia.org/wiki/Carnival_Glory,CARNIVAL GLORY
https://en.wikipedia.org/wiki/Carnival_Liberty,CARNIVAL LIBERTY
https://en.wikipedia.org/wiki/Carnival_Miracle,CARNIVAL MIRACLE
https://en.wikipedia.org/wiki/Carnival_Sunshine,CARNIVAL SUNSHINE
https://en.wikipedia.org/wiki/Carnival_Valor,CARNIVAL VALOR
https://en.wikipedia.org/wiki/Carnival_Vista,CARNIVAL VISTA
https://en.wikipedia.org/wiki/Marella_Discovery_2,MARELLA DISCOVERY 2
https://en.wikipedia.org/wiki/Celebrity_Equinox,CELEBRITY EQUINOX
https://en.wikipedia.org/wiki/Celebrity_Infinity,CELEBRITY INFINITY
https://en.wikipedia.org/wiki/Celebrity_Reflection,CELEBRITY REFLECTION
https://en.wikipedia.org/wiki/Club_Med_2,CLUB MED 2
https://en.wikipedia.org/wiki/Crystal_Symphony,CRYSTAL SYMPHONY
https://en.wikipedia.org/wiki/Disney_Dream,DISNEY DREAM
https://en.wikipedia.org/wiki/Disney_Magic,DISNEY MAGIC
https://en.wikipedia.org/wiki/Disney_Wonder,DISNEY WONDER
https://en.wikipedia.org/wiki/Explorer_of_the_Seas,EXPLORER OF THE SEAS
https://en.wikipedia.org/wiki/Liberty_of_the_Seas,LIBERTY OF THE SEAS
https://en.wikipedia.org/wiki/Majesty_of_the_Seas,MAJESTY OF THE SEAS
https://en.wikipedia.org/wiki/Marella_Discovery_2,MARELLA DISCOVERY 2
https://en.wikipedia.org/wiki/Mariner_of_the_Seas,MARINER OF THE SEAS
https://en.wikipedia.org/wiki/MSC_Armonia,MSC ARMONIA
https://en.wikipedia.org/wiki/MSC_Opera,MSC OPERA
https://en.wikipedia.org/wiki/Norwegian_Breakaway,NORWEGIAN BREAKAWAY
https://en.wikipedia.org/wiki/Norwegian_Dawn,NORWEGIAN DAWN
https://en.wikipedia.org/wiki/Norwegian_Epic,NORWEGIAN EPIC
https://en.wikipedia.org/wiki/Norwegian_Getaway,NORWEGIAN GETAWAY
https://en.wikipedia.org/wiki/Norwegian_Jade,NORWEGIAN JADE
https://en.wikipedia.org/wiki/Norwegian_Pearl,NORWEGIAN PEARL
https://en.wikipedia.org/wiki/Norwegian_Sky,NORWEGIAN SKY
https://en.wikipedia.org/wiki/Norwegian_Star,NORWEGIAN STAR
https://en.wikipedia.org/wiki/Norwegian_Sun,NORWEGIAN SUN
https://en.wikipedia.org/wiki/Oasis_of_the_Seas,OASIS OF THE SEAS
https://en.wikipedia.org/wiki/Rhapsody_of_the_Seas,RHAPSODY OF THE SEAS
https://en.wikipedia.org/wiki/MS_Fram,FRAM
https://en.wikipedia.org/wiki/Silver_Wind,SILVER WIND
https://en.wikipedia.org/wiki/Navigator_of_the_Seas,NAVIGATOR OF THE SEA
https://en.wikipedia.org/wiki/MS_Oosterdam,OOSTERDAM
https://en.wikipedia.org/wiki/MS_Zuiderdam,ZUIDERDAM
https://en.wikipedia.org/wiki/MS_Island_Princess_(2002),ISLAND PRINCESS
https://en.wikipedia.org/wiki/MV_Piano_Land,ORIANA
https://en.wikipedia.org/wiki/MS_Regatta,REGATTA
https://en.wikipedia.org/wiki/MV_Aurora_(2000),AURORA
https://en.wikipedia.org/wiki/Celebrity_Silhouette,CELEBRITYSILHOUETTE
https://en.wikipedia.org/wiki/MS_Marella_Spirit,NIEUW AMSTERDAM
https://en.wikipedia.org/wiki/MS_Eurodam,EURODAM
https://en.wikipedia.org/wiki/Carnival_Miracle,CARNIVAL MIRACLE TB1
https://en.wikipedia.org/wiki/MS_Amera,VIKING SUN
https://en.wikipedia.org/wiki/MS_Eurodam,CARIBBEANPRINCE TB22
https://en.wikipedia.org/wiki/Norwegian_Getaway,NCL GETAWAY T6
https://en.wikipedia.org/wiki/Carnival_Miracle,CARNIVAL MIRACLE TB5
https://en.wikipedia.org/wiki/MS_Borealis,M/S ROTTERDAM
https://en.wikipedia.org/wiki/MS_Aegean_Majesty,VEENDAM
https://en.wikipedia.org/wiki/Independence_of_the_Seas,INDEPENDENCE OF SEAS
https://en.wikipedia.org/wiki/Adventure_of_the_Seas,ADVENTURE OF THE SEA
https://en.wikipedia.org/wiki/Brilliance_of_the_Seas,BRILLIANCE OFTHESEAS
https://en.wikipedia.org/wiki/MS_Aegean_Majesty,ENCHANTMENT OTS
