idnum,href,full_link,name
74,/wiki/Cruise_ship,https://en.wikipedia.org/wiki/Cruise_ship,CRUISE SHIP
76,/wiki/List_of_ocean_liners,https://en.wikipedia.org/wiki/List_of_ocean_liners,LIST OF OCEAN LINERS
81,/wiki/MS_Achille_Lauro,https://en.wikipedia.org/wiki/MS_Achille_Lauro,MS ACHILLE LAURO
83,/wiki/Nedlloyd,https://en.wikipedia.org/wiki/Nedlloyd,NEDLLOYD
84,/wiki/Achille_Lauro_hijacking,https://en.wikipedia.org/wiki/Achille_Lauro_hijacking,ACHILLE LAURO HIJACKING
86,/wiki/MS_Adriana,https://en.wikipedia.org/wiki/MS_Adriana,MS ADRIANA
90,/wiki/Bridgetown,https://en.wikipedia.org/wiki/Bridgetown,BRIDGETOWN
91,/wiki/Adora_Mediterranea,https://en.wikipedia.org/wiki/Adora_Mediterranea,ADORA MEDITERRANEA
93,/wiki/Adventure_of_the_Seas,https://en.wikipedia.org/wiki/Adventure_of_the_Seas,ADVENTURE OF THE SEAS
96,/wiki/Barbados,https://en.wikipedia.org/wiki/Barbados,BARBADOS
97,/wiki/MS_Aegean_Majesty,https://en.wikipedia.org/wiki/MS_Aegean_Majesty,MS AEGEAN MAJESTY
98,/wiki/Seajets,https://en.wikipedia.org/wiki/Seajets,SEAJETS
100,"/wiki/Gloucester,_Massachusetts","https://en.wikipedia.org/wiki/Gloucester,_Massachusetts","GLOUCESTER, MASSACHUSETTS"
101,/wiki/MV_Aegean_Odyssey,https://en.wikipedia.org/wiki/MV_Aegean_Odyssey,MV AEGEAN ODYSSEY
105,"/wiki/Split,_Croatia","https://en.wikipedia.org/wiki/Split,_Croatia","SPLIT, CROATIA"
106,/wiki/Aegean_Paradise,https://en.wikipedia.org/wiki/Aegean_Paradise,AEGEAN PARADISE
108,/wiki/Rhodes,https://en.wikipedia.org/wiki/Rhodes,RHODES
109,/wiki/AIDAbella,https://en.wikipedia.org/wiki/AIDAbella,AIDABELLA
112,/wiki/Kiel,https://en.wikipedia.org/wiki/Kiel,KIEL
113,/wiki/AIDAblu,https://en.wikipedia.org/wiki/AIDAblu,AIDABLU
116,/wiki/Corfu_(city),https://en.wikipedia.org/wiki/Corfu_(city),CORFU (CITY)
117,/wiki/AIDAcosma,https://en.wikipedia.org/wiki/AIDAcosma,AIDACOSMA
120,/wiki/Meyer_Werft,https://en.wikipedia.org/wiki/Meyer_Werft,MEYER WERFT
121,/wiki/AIDAdiva,https://en.wikipedia.org/wiki/AIDAdiva,AIDADIVA
125,/wiki/AIDAluna,https://en.wikipedia.org/wiki/AIDAluna,AIDALUNA
128,/wiki/Road_Town,https://en.wikipedia.org/wiki/Road_Town,ROAD TOWN
129,/wiki/AIDAmar,https://en.wikipedia.org/wiki/AIDAmar,AIDAMAR
132,/wiki/Hamburg,https://en.wikipedia.org/wiki/Hamburg,HAMBURG
133,/wiki/AIDAnova,https://en.wikipedia.org/wiki/AIDAnova,AIDANOVA
136,/wiki/Meyer_Werft,https://en.wikipedia.org/wiki/Meyer_Werft,MEYER WERFT
137,/wiki/AIDAperla,https://en.wikipedia.org/wiki/AIDAperla,AIDAPERLA
140,/wiki/Le_Havre,https://en.wikipedia.org/wiki/Le_Havre,LE HAVRE
141,/wiki/AIDAprima,https://en.wikipedia.org/wiki/AIDAprima,AIDAPRIMA
